boletin,project_id,fecha_ingreso,origen_iniciativa,boletin_suffix,titulo,document_type,text_quality,cleaned_chars,text_excerpt,topic_primary,topic_secondary,coder,review_status,notes
18231-35,18882,2026-05-04,ejecutivo,35,Establece el Día Nacional de la Teletón y el Día Nacional del Encuentro Familiar,ingreso_proyecto,rica,8593,"Boletín N° 18.231-35 Proyecto de ley, iniciado en Mensaje de Su Excelencia el Presidente de la República, que establece el Día Nacional de la Teletón y el Día Nacional del Encuentro Familiar. Santiago, 28 de abril de 2026 M E N S A J E N° 017-374/ Honorable Senado: Tengo el honor de someter a vuestra consideración un proyecto de ley que establece el Día Nacional de la Teletón y el Día Nacional del Encuentro Familiar. I. ANTECEDENTES De acuerdo con el III Estudio Nacional de la Discapacidad (SENADIS, 2022), el 17% de la población de dos años y más presenta alguna discapacidad, lo que equivale a 3.291.602 personas. De ese total, 587.709 corresponden a niños, niñas y adolescentes de entre 2 y 17 años. Complementariamente, los resultados del Censo de Población y Vivienda 2024, que por primera vez incorporó el set de preguntas del Grupo de Washington para la medición de discapacidad en censos, muestran que el 11,1% de la población de 5 años o más en Chile presenta discapacidad, lo que equivale a 1.950.388 person as (210.630 niños, niñas y adolescentes entre 5 y 19 años). Esta estimación es consistente con la prevalencia de discapacidad severa identificada por el III Estudio Nacional de la Discapacidad, debido a que la metodología censal permite identificar principalmente situaciones de mayor dificultad funcional. A S.E. LA PRESIDENTA DEL H. SENADO. 2 Estos antecedentes permiten dimensionar la relevancia de las políticas públicas orientadas a la rehabilitación, inclusión social y apoyo a las personas con discapacidad y sus familias, así como del rol complementario que cumplen instituciones de la sociedad civil en este ámbito, en consonancia con lo establecido en el inciso tercero del artículo 1 de la Constitución Política de la República. En este contexto, la Teletón ha desempeñado una función de relevancia pública sustantiva en el ámbito de la rehabilitación. Se trata de una institución sin fines de lucro dedicada a la rehabilitación integral de niños, niñas y jóvenes con discapacidad de origen músculo esquelético , cuya labor comprende una actividad sanitaria, terapéutica y social de carácter permanente. Junto con ello, la institución desarrolla una función relevante de difusión y concientización en torno a la discapacidad, contribuyendo a visibilizar esta realidad y a promover una mayor inclusión social. La trayectoria la Teletón se inicia hace más de 79 años, con la creación en Chile de la Sociedad Pro Ayuda del Niño Lisiado, entidad pionera en la rehabilitación de niños, niñas y jóvenes con discapacidad motora. Hasta 1977, dicha Sociedad atendió a cerca d",,,,pending,
18232-25,18886,2026-05-04,ejecutivo,25,"Modifica la ley N° 21.659, sobre seguridad privada, para aumentar el plazo de presentación y pronunciamiento sobre los estudios de seguridad que dispone, y extiende la prórroga de vigencia de la última autorización del personal de seguridad privada que indica",texto_mensaje,rica,15868,"MENSAJE DE S.E. EL PRESIDENTE DE LA REPÚBLICA CON EL QUE INICIA UN PROYECTO DE LEY QUE MODIFICA LA LEY N° 21.659 SOBRE SEGURIDAD PRIVADA, CON EL OBJETO DE AUMENTAR EL PLAZO PARA PRESENTAR ESTUDIOS DE SEGURIDAD Y PRONUNCIARSE RESPECTO DE LOS MISMOS, Y EXTENDER LA PRÓRROGA DE LA VIGENCIA DE LA ÚLTIMA AUTORIZACIÓN DEL PERSONAL DE SEGURIDAD PRIVADA QUE INDICA. _______________________________ Santiago, 04 de mayo de 2026 MENSAJE Nº 025-374/ A S.E. EL PRESIDENTE DE LA H. CÁMARA DE DIPUTADOS Honorable Cámara de Diputados: En el ejercicio de mis facultades, tengo el honor de someter a vuestra consideración un proyecto de ley que modifica la ley N° 21.659 sobre Seguridad Privada, con el objeto de aumentar el plazo para presentar estudios de seguridad y pronunciarse respecto de los mismos, y extender la prórroga de la vigencia de la última autorización del personal de seguridad privada que indica. ANTECEDENTES Marco normativo. Ley N° 21.659 Con fecha 21 de marzo de 2024, se publicó la ley Nº 21.659, que establece la Ley Marco de Seguridad Privada (en adelante, también la “Ley”). Este cuerpo legal constituye un avance relevante para nuestro país, permitiendo regular de manera integral y sistemática un sector que colabora activamente con la prevención del delito y la protección tanto de las personas como también de la infraestructura crítica y estratégica. Posteriormente, se publicaron los decretos N° 208 y N° 209 del Ministerio del Interior y Seguridad Pública, ambos de 2024, que aprobaron el reglamento de eventos masivos y el reglamento de seguridad privada, respectivamente. A partir de la publicación de este último reglamento, en mayo de 2025, comenzó a correr el plazo de seis meses para la entrada en vigencia de la Ley, lo que ocurrió el 28 de noviembre de 2025. Lo anterior es especialmente relevante, pues con la entrada en vigencia de la Ley comenzaron a correr los plazos de 6 meses que el mismo cuerpo normativo fijó para la presentación de estudios de seguridad por parte de las entidades obligadas y para la obtención de las autorizaciones de seguridad privada de las personas naturales cuyas autorizaciones hubieren vencido. En efecto, el artículo 2° transitorio de la ley N° 21.659 establece que las empresas de transporte de valores, las instituciones bancarias y financieras de cualquier naturaleza, las empresas de apoyo al giro bancario que reciban o mantengan dineros en sus operaciones y los establecimientos de venta de combustibles deberán presentar un estudio de seguridad dentro de los seis meses siguientes a la entrada en vigencia de la ley, aun cuando cuen",,,,pending,
18245-12,18909,2026-05-05,parlamentario,12,Introduce y regula la obligación de las empresas de rellenos sanitarios de elaborar un plan para la reducción de gas metano dentro de sus instalaciones,ingreso_proyecto,rica,9202,"Antecedentes Durante el último siglo, el cambio climático se ha convertido en uno de los principales desafíos que ha enfrentado la humanidad en su historia. La Convención Marco de las Naciones Unidas sobre el Cambio Climático, de 1992, señala que este corresponde a la alteración de la composición de la atmósfera global, un fenómeno que se atribuye directa e indirectamente a la actividad humana. Los científicos atribuyen la tendencia al calentamiento global al efecto invernadero, el calentamiento que se produce cuando la atmósfera atrapa el calor que se irradia desde la Tierra al espacio. Aproximadamente el 90% de este calor es absorbido por los gases de efecto invernadero (GEI). El gas metano es el segundo contribuyente más importante al calentamiento climático después del dióxido de carbono, con un potencial de calentamiento veinte veces mayo r. El metano ha sido responsable del 30% del calentamiento global desde la Revolución Industrial y actualmente se está proliferando más rápidamente que en cualquier otro momento desde que se iniciaron registros. Por ello, si no se toman medidas concretas que permitan 05-05-2026 13:22 reducir este número, se proyecta que estas emisiones aumentarán en un 13% para el año 2030.1 Si bien el metano es un gas de efecto invernadero mucho más efectivo que el dióxido de carbono, es mucho menos común en la atmósfera. Debido a esto, expertos han señalado que, si bien el efecto de la reducción de los niveles de CO2 en la atmósfera llevaría cientos de años en materializarse, la reducción de emisiones de metano tendría un impacto de corto plazo que sería fundamental para ayudar a mantener el camino a la meta de 1,5°C.2 Además de influir en el clima, este gas afecta gravemente la salud humana y los ecosistemas, e n especial por su rol como propulsor del ozono troposférico. Los residuos sólidos municipales contribuyen aproximadamente al 12% de las emisiones antropogénicas de metano a escala mundial 3, por lo que los rellenos sanitarios representan una importante fuente de emisione s. Estos se refieren a instalaciones para la disposición final de residuos domiciliarios, los que son compactados para disminuir riesgos tanto para la salud de la población como para el medioambiente. En Chile actualmente existen 34 residuos sanitarios que reciben el 86% de los residuos domiciliarios. Según un informe del Consejo de Políticas de Infraestructura (CPI), la generación de residuos en Chile ha aumentado cerca de un 25% entre 2015 y 202 1, superando 9 millones de toneladas 1 Global Methane Pledge. (s.f.). The Imperative for Methane Action. Recu",,,,pending,
18267-24,18946,2026-05-13,parlamentario,24,"Modifica la ley N° 19.928, sobre fomento de la música chilena, para regular y proteger la participación de teloneros chilenos en conciertos de artistas extranjeros",ingreso_proyecto,rica,6549,"ndamentos La regulación de los conciertos y eventos musicales masivos en Chile ha experimentado avances relevantes en los últimos años, particularmente a partir de las modiﬁcaciones introducidas a la Ley N° 19.928 sobre fomento de la música chilena por la Ley N° 21.205 de 2020, popularmente conocida como “Ley del Telonero”. Entre dichas innovaciones, se incorporó la exigencia de que los artistas extranjeros que se acojan al beneﬁcio tributario de exención del Impuesto al Valor Agregado (IVA) en la venta de entradas, deban contemplar la participación de al menos un artista nacional en calidad de telonero. Esta obligación responde a un objetivo claro de la política pública diseñada por el legislador de la época: fomentar la música chilena, promoviendo la visibilidad, circulación y desarrollo profesional de artistas nacionales en escenarios de alta convocatoria, como son los conciertos de artistas extranjeros. Sin embargo, la experiencia reciente ha evidenciado que dicha ﬁnalidad se ha visto debilitada por dos problemas estructurales. En primer lugar, la normativa vigente carece de una consecuencia jurídica expresa frente al incumplimiento de las obligaciones relativas al telonero nacional, ya 13-05-2026 11:46 que inexplicablemente la ley lo exime de las sanciones de multa a beneﬁcio ﬁscal de 50 a 100 UTM que sí proceden respecto del resto de reglas sobre conciertos y eventos musicales. Esto ha permitido que, en la práctica, la observancia de la Ley del Telonero sea irregular o meramente formal. En segundo lugar, desde hace tiempo se vienen denunciado por parte de gremios y artistas las prácticas contractuales adoptadas por la industria y que terminan por desnaturalizar el sentido de la norma. Estas incluyen la imposición de cláusulas contractuales que establecen condiciones económicas desfavorables o derechamente abusivas para los artistas nacionales, tales como la exigencia de devolución de ingresos o la cesión de derechos en términos que no guardan relación con los estándares razonables de la industria. Esto es algo que ocurre frecuentemente en la práctica, y existen varios ejemplos en que se ha vulnerado el espíritu de la norma. Un caso ampliamente conocido es el del artista Alex Anwandter, quien a ﬁnales de 2024 declinó de participar como telonero en un concierto del artista internacional The Weeknd en Chile, luego de que se le impusieran condiciones que incluían la devolución del 50% de sus ingresos por derechos de autor 1 . Este tipo de situaciones —un reportaje de The Clinic registra al menos 11 casos 2 — evidencian cómo una obligación concebida par",,,,pending,
18269-01,18948,2026-05-13,parlamentario,01,"Establece medidas de prevención y control de riesgos asociados a perros salvajes o ferales, en la seguridad de las personas, el ganado y la fauna silvestre",ingreso_proyecto,rica,8878,"ANTECEDENTES El impacto de perros que han vuelto a una condición silvestre representa una amenaza para la biodiversidad. Se trata de perros ferales que han perdido todo contacto con el hombre, desarrollando una conducta predatoria que afecta gravemente los ecosistemas. Según la literatura cientíﬁca, viven en estado salvaje y libre, y evitan continuamente el contacto humano directo1. En dichas circunstancias, conservan instintos depredadores sobre fauna silvestre y ganado adoptando estrategias de supervivencia que tienden a la vida en grupo, la territorialidad y a un alto grado de ﬂexibilidad ecológica2, por lo que pueden adaptarse a distintas condiciones, ambientes y recursos. Como se aprecia, el comportamiento de estos canes diﬁere absolutamente de la naturaleza de mascotas y animales de compañía cuyas características son aﬁnes a la convivencia doméstica, cumpliendo un rol relevante en la dinámica familiar y afectiva de muchos hogares. En rigor, los perros salvajes o ferales constituyen un riesgo no solo para la vida y la integridad de las personas y de especies protegidas, sino que para toda la cadena productiva del campo a raíz de que habitualmente atacan animales, como ovinos y bovinos, que son indispensables para la producción de alimentos y materias primas. 1 L. BOITANI & P . CIUCCI (1995). “Comparative social ecology of feral dogs and wolves”. Ethology Ecology & Evolution 7: 49-72, pág. 52. 2 Ibid., pág. 65. 13-05-2026 12:09 Por ello, los perjuicios económicos vinculados a este problema comprometen el sustento de pequeños y medianos productores, especialmente de la zona sur del país, quienes -por lo general- no cuentan con el presupuesto suﬁciente para cubrir las pérdidas. Cabe mencionar que la crianza de ganado es una actividad de gran relevancia para la agricultura familiar campesina. En efecto, de acuerdo con el Censo Silvoagropecuario de 2021, la ganadería prevalece como principal rubro en el 28% de las unidades silvoagropecuarias, generando la mayor proporción de ingresos dentro de los predios3. Al respecto, el Servicio Agrícola y Ganadero (SAG) reveló que existen más de 4.750 denuncias por ataque de carnívoros entre 2012 y 2026, de las cuales 888 corresponden a incidentes asociados a perros (19% del total)4. Asimismo, los ataques al ganado ovino han ido aumentando de manera sostenida en el tiempo. En 2021, se registraron 39 casos; en 2022 esa cifra se elevó a 41; mientras que al año siguiente se observó una fuerte tendencia al alza, pasando de 161 episodios en 2023 a 259 en 20245. Sin embargo, la ocurrencia de estos hechos probablemente supe",,,,pending,
18255-31,18918,2026-05-18,ejecutivo,31,Establece un beneficio de compensación por la compra de pañales y de medicamentos,texto_mensaje,rica,26085,"MENSAJE DE S.E. EL PRESIDENTE DE LA REPÚBLICA CON EL QUE INICIA UN PROYECTO DE LEY QUE ESTABLECE UN BENEFICIO DE COMPENSACIÓN POR LA COMPRA DE PAÑALES Y DE MEDICAMENTOS. Santiago, 15 de mayo de 2026. MENSAJE Nº 042-374/ Honorable Cámara de Diputados: En uso de mis facultades constitucionales, tengo el honor de someter a vuestra consideración un proyecto de ley que establece un beneficio de compensación, equivalente al reembolso del Impuesto al Valor Agregado, por la adquisición de pañales y de medicamentos efectuada por los hogares pertenecientes al ochenta por ciento más vulnerable de la población. La iniciativa busca aliviar la carga económica que representa para estos hogares la compra recurrente de bienes esenciales para el cuidado infantil, para el cuidado de personas mayores con dependencia y para el tratamiento de patologías de uso permanente. FUNDAMENTOS Los gastos asociados a pañales -tanto para niños y niñas en sus primeros años de vida como para personas mayores con necesidades de cuidado- y de medicamentos de uso permanente, constituye una erogación recurrente e ineludible para las familias. A diferencia de otros gastos, estos no admiten postergación, y representan una carga proporcionalmente mayor sobre el presupuesto de los hogares de menores ingresos y de clase media. El cambio demográfico que atraviesa nuestro país no hace sino profundizar esta realidad. En Chile existen aproximadamente 2,8 millones de personas mayores de 65 años, de las cuales al menos un 10% o más presentan condiciones de incontinencia urinaria u otras que requieren el uso habitual de pañales. En mayoría de los casos, su cuidado recae en personas cuidadoras no remuneradas. En lo que respecta a la primera infancia, las familias con niños y niñas menores de dos años destinan una proporción importante de su ingreso disponible a la compra mensual de este producto. La presente iniciativa extiende el beneficio a quienes pertenecen al 80% más vulnerable de la población, que es precisamente donde el impacto de estos gastos resulta más gravoso. El diseño del beneficio descansa en tres definiciones de política pública. En primer lugar, su estructura como reembolso del Impuesto al Valor Agregado, con un tope referencial calculado sobre una canasta mensual de consumo, mantiene la neutralidad del régimen tributario y evita modificar las reglas generales impositivas. En segundo lugar, su entrega exige boleta electrónica y, según corresponda, receta o certificado médico vigente, y se materializa mediante transferencia al Bolsillo Familiar Electrónico, promoviendo así la formalización ",,,,pending,
18256-10,18919,2026-05-18,ejecutivo,10,"Aprueba el Acuerdo entre la República de Chile y la República Helénica sobre el empleo remunerado de dependientes de miembros de una misión diplomática o representación consular, suscrito en Santiago, el 24 de abril de 2024",texto_mensaje,rica,5211,"MENSAJE DE S.E. EL PRESIDENTE DE LA REPÚBLICA CON EL QUE INICIA UN PROYECTO DE ACUERDO QUE APRUEBA EL “ACUERDO ENTRE LA REPÚBLICA DE CHILE Y LA REPÚBLICA HELÉNICA SOBRE EL EMPLEO REMUNERADO DE DEPENDIENTES DE MIEMBROS DE UNA MISIÓN DIPLOMÁTICA O REPRESENTACIÓN CONSULAR”, SUSCRITO EN SANTIAGO, EL 24 DE ABRIL DE 2024. __________________________________ Santiago, 27 de abril de 2026 M E N S A J E Nº 021-374/ A S.E. EL PRESIDENTE DE LA H. CÁMARA DE DIPUTADOS. Honorable Cámara de Diputados: En uso de mis facultades constitucionales, tengo el honor de someter a vuestra consideración el “Acuerdo entre la República de Chile y la República Helénica sobre el Empleo Remunerado de Dependientes de Miembros de una Misión Diplomática o Representación Consular”, suscrito en Santiago, el 24 de abril de 2024. ANTECEDENTES Y FUNDAMENTOS El Acuerdo con la Republica Helénica obedece al interés de las Partes por permitir el libre ejercicio de actividades remuneradas, sobre la base de un trato recíproco, a los familiares dependientes de los miembros de misiones diplomáticas y representaciones Consulares oficialmente acreditados en la otra Parte. ESTRUCTURA Y CONTENIDO DEL TRATADO El presente Acuerdo consta de un Preámbulo y de 9 Artículos, donde se despliegan las normas que conforman su cuerpo principal y dispositivo. En primer término, en el Preámbulo, se da cuenta del interés de las Partes de celebrar el Acuerdo con miras a facilitar la realización de actividades remuneradas por los familiares dependientes de sus funcionarios oficiales. A continuación, el Artículo 1 precisa el significado de “miembro de una misión diplomática o representación consular”, siguiendo las definiciones de la Convención de Viena sobre Relaciones Diplomáticas de 1961 y la Convención de Viena sobre Relaciones Consulares de 1963. También define lo que debe entenderse por “dependiente” que incluye a los cónyuges, a parejas registradas o convivientes civiles, los hijos solteros menores de 20 años o menores de 25 si son alumnos regulares en establecimientos de educación superior, y los hijos solteros con discapacidad física o mental. Finalmente, el mismo Artículo define el concepto de “empleo remunerado”, entendiéndose como cualquier actividad laboral dependientes que implique la percepción de un sueldo en virtud de un contrato de trabajo en conformidad con la legislación del Estado receptor. El Artículo 2 indica que el desempeño del empleo remunerado debe ser realizado en conformidad con la legislación del Estado receptor y con sujeción a las disposiciones del presente Acuerdo. Mientras que el párrafo 2",,,,pending,
18258-07,18921,2026-05-18,ejecutivo,07,"Modifica la ley N°18.415, orgánica constitucional de los estados de excepción, en materia de control de identidad y otros",texto_mensaje,rica,10742,"MENSAJE DE S.E. EL PRESIDENTE DE LA REPÚBLICA CON EL QUE INICIA UN PROYECTO DE LEY QUE MODIFICA LA LEY N°18.415, ORGÁNICA CONSTITUCIONAL DE LOS ESTADOS DE EXCEPCIÓN, EN MATERIA DE CONTROL DE IDENTIDAD Y OTROS. Santiago, 18 de mayo de 2026 M E N S A J E Nº 044-374/ A S.E. EL PRESIDENTE DE LA H. CÁMARA DE DIPUTADOS. Honorable Cámara de Diputados: En uso de mis facultades constitucionales, he resuelto someter a vuestra consideración el presente proyecto de ley, que modifica la ley N°18.415, orgánica constitucional de los estados de excepción, en materia de control de identidad y otros. ANTECEDENTES De conformidad con lo establecido en el artículo 1° de la Constitución Política de la República, es deber del Estado resguardar la seguridad nacional, dar protección a la población y a la familia. Este deber constitucional es un presupuesto necesario para el cumplimiento de uno de los principales fines del Estado, cual es promover el bien común. Por ello, está llamado a generar las condiciones que permitan a las personas desarrollarse en un contexto de seguridad, paz social y resguardo efectivo del orden público. En dicho contexto, los estados de excepción constitucional son mecanismos extraordinarios destinados a enfrentar situaciones que afectan gravemente el normal desenvolvimiento del país o de un territorio determinado, permitiendo adoptar medidas excepcionales orientadas al restablecimiento de la normalidad constitucional y la protección de la población. En aquellas zonas del territorio nacional que se encuentran bajo estado de excepción constitucional, especialmente las afectadas por hechos graves de violencia o alteración del orden público, el despliegue de las Fuerzas Armadas ha demostrado ser eficaz para colaborar en las labores de resguardo y control territorial. Con todo, la experiencia acumulada ha evidenciado la necesidad de dotar a dichas instituciones de mayores herramientas para el cumplimiento de tales funciones. La reforma constitucional introducida por la ley N° 21.542 facultó al Presidente de la República disponer de las Fuerzas Armadas con el objeto de proteger infraestructura crítica. Dicha potestad, ejercida desde el año 2023 para el resguardo de la frontera norte del país, ha contribuido de manera significativa en la mantención del orden público, gracias a la habilitación normativa para el despliegue de acciones propias de la labor policial, tales como el control de identidad, el registro y la detención en caso de flagrancia. Sin embargo, dicha habilitación no resulta aplicable durante la vigencia de un estado de excepción constitucional ",,,,pending,
18259-08,18922,2026-05-18,ejecutivo,08,"Modifica el Código de Minería y las leyes números 21.420 y 21.649, en materia de amparo minero y otras materias que indica",texto_mensaje,rica,21023,"MENSAJE DE S.E. EL PRESIDENTE DE LA REPÚBLICA CON EL QUE INICIA UN PROYECTO DE LEY QUE MODIFICA EL CÓDIGO DE MINERÍA Y LAS LEYES N° 21.420 y N° 21.649, EN MATERIA DE AMPARO MINERO Y OTRAS MATERIAS QUE INDICA. Santiago, 18 de mayo de 2026. M E N S A J E Nº 039-374/ Honorable Cámara de Diputados: A S.E. EL PRESIDENTE DE LA H. CÁMARA DE DIPUTADOS En uso de mis facultades constitucionales, tengo el honor de someter a vuestra consideración un proyecto de ley que modifica el Código de Minería y las leyes N°21.420 y N° 21.649, en materia de amparo minero y otras materias que indica. Antecedentes Generales El impulso de la actividad minera es fundamental para mejorar la economía del país, generar empleo y oportunidades, dentro del marco que el ordenamiento jurídico nos permite. Lo anterior ha llevado a revisar la situación actual del amparo minero, considerando su objeto y la forma que permite a los concesionarios mineros cumplir con el interés público que conlleva el desarrollo de la actividad minera. MARCO JURÍDICO El estatuto jurídico minero se encuentra regulado en el artículo 19 N°24 incisos 6° al 10° de la Constitución Política de la República, en la ley N°18.097, orgánica constitucional sobre concesiones mineras, el Código de Minería de 1983 y el Reglamento del Código de Minería de 1986. A nivel constitucional, la Carta Fundamental establece que el Estado es el dueño absoluto, exclusivo, inalienable e imprescriptible de todas las minas. Las sustancias minerales de su dominio se clasifican en concesibles y no concesibles. Las primeras pueden ser aprovechadas tanto por las empresas del Estado, en la medida que sus respectivas leyes orgánicas lo autoricen, como por particulares —personas naturales o jurídicas—, mediante concesiones mineras de exploración y de explotación, constituidas por resolución judicial de conformidad con lo dispuesto en el Código de Minería. La Ley Orgánica de Concesiones Mineras, por mandato constitucional, establece cuáles son los derechos y obligaciones que tienen los concesionarios mineros, la duración de las concesiones y sus causales de caducidad y extinción. Sin perjuicio de lo anterior, la Constitución dispone en el artículo 19 N°24 inciso 7° que “la concesión minera obliga al dueño a desarrollar la actividad necesaria para satisfacer el interés público que justifica su otorgamiento”. Además, establece que “su régimen de amparo será establecido por dicha ley, tenderá directa o indirectamente a obtener el cumplimiento de esa obligación (…)”. De este modo, la Carta Fundamental establece la obligación de amparo de las concesiones ",,,,pending,
18285-05,18958,2026-05-18,parlamentario,05,Modifica los cuerpos legales que indica para fortalecer la publicidad y transparencia en materia de modificación presupuestaria,ingreso_proyecto,rica,8059,"Fundamentos Durante los primeros meses del actual gobierno, se han conocido de manera fragmentada y a través de los medios nacionales de comunicación, distintos decretos de modificación presupuestaria dictados por el Ministerio de Hacienda, con relevantes reducciones de recursos en el presupuesto de ministerios como Desarrollo Social y Familia o Justicia y Derechos Humanos, destinados a programas sociales y a financiar instituciones esenciales del Estado como Gendarmería. Estas modificaciones presupuestarias han generado preocupación por sus eventuales efectos sobre el empleo público y los equipos ejecutores, la continuidad, cobertura y funcionamiento de estas políticas y por el destino de sus usuarios. A la fecha, no es posible conocer íntegramente el contenido de estas modificaciones, los montos involucrados, el alcance de los programas afectados ni los fundamentos de las decisiones adoptadas. La situación dificulta el acceso público a la información sobre decisiones administrativas de alta relevancia para la ejecución y el uso de recursos fiscales y para la provisión de programas públicos. Constituye una vulneración del principio de publicidad de los actos de la Administración del Estado consagrado en el inciso segundo del artículo 8° de la Constitución Política de la República de Chile, que establece que son públicos los actos y resoluciones de los órganos del Estado, así como sus fundamentos y los procedimientos que utilicen. Dicho 18-05-2026 20:05 principio es una de las bases esenciales del Estado democrático y del control ciudadano sobre el ejercicio de la función pública. La Ley N° 20.285 sobre Acceso a la Información Pública, en su artículo 5, profundiza dicho principio, indicando que también es pública la información elaborada con presupuesto público y toda otra información que obre en poder de los órganos de la Administración, cualquiera sea su formato, soporte, fecha de creación, origen, clasificación o procesamiento, a menos que esté sujeta a las excepciones previstas en una ley aprobada con quórum calificado. Asimismo, el artículo 13 de la Ley N° 18.575, Orgánica Constitucional de Bases Generales de la Administración del Estado, dispone que la función pública debe ejercerse con transparencia, promoviendo el conocimiento de los procedimientos, contenidos y fundamentos de las decisiones adoptadas por la Administración. Las modificaciones presupuestarias constituyen actos administrativos de especial relevancia pública, toda vez que permiten alterar la distribución de los recursos fiscales aprobada por el Congreso Nacional, sin su concurrencia",,,,pending,
18278-13,18955,2026-05-20,parlamentario,13,"Sanciona las acusaciones falsas en materia laboral, y modifica el Código Penal y el Código del Trabajo del modo que indica",ingreso_proyecto,rica,5488,"Boletín N° 18.278-13 Proyecto de ley, iniciado en Moción de los Honorables Senadores señor Lee, señoras Gatica y Kaiser, y señores Bianchi y Calisto, que sanciona las acusaciones falsas en materia laboral, y modifica el Código Penal y el Código del Trabajo del modo que indica. FUNDAMENTOS La presunción de inocencia (Art. 19 N° 3 CPR) y el derecho a la honra (Art. 9 N° 4 CPR) no son prerrogativas exclusivas del trabajador; pertenecen a toda persona que intervenga en un proceso judicial. En el proceso laboral, la inversión de la carga de la prueba o la técnica de los indicios (Art. 493 CT) se ha transformado en un incentivo perverso para la creación de relatos fácticos artificiales que el demandado, muchas veces, se ve imposibilitado de desvirtuar fehacientemente, generando condenas basadas en presunciones sin sustento real. Se ha constatado un aumento exponencial en el uso de la denuncia por acoso laboral (Ley Karin) o vulneración de derechos fundamentales como mecanismo preventivo ante despidos inminentes por bajo desempeño. Esta práctica no solo congestiona los tribunales, sino que estigmatiza a las jefaturas y equipos de trabajo. El ordenamiento actual sanciona la falta de motivo plausible solo con recargos indemnizatorios para el empleador (Art. 168 CT), pero deja en la absoluta impunidad al denunciante que miente delibera damente, quien suele terminar la gestión con su indemnización base intacta a pesar de haber lesionado la honra ajena. La falsa denuncia en el trabajo actúa como un agente corrosivo del clima organizacional. A diferencia del ámbito familiar, donde se habla de violencia vicaria, en el trabajo se produce una ""persecución estratégica"" que utiliza el aparato estatal para extorsionar acuerdos económicos por sobre los límites legales. Esto afecta especialmente a las pequeñas y medianas empresas que carecen de los medios de defensa de las corporaciones y cuyos dueños ven destruido su prestigio personal en la comunidad por imputaciones temerarias. Esta reforma no busca desincentivar la denuncia legítima. Al contrario, al limpiar el sistema de denuncias instrumentales, se garantiza que los recursos judiciales se concentren en las verdaderas víctimas. Se introduce un estándar de dolo o culpa grave, asegurando que el error de buena fe no sea sancionado, sino solo la malicia manifiesta. PROYECTO DE LEY Artículo 1 o. Objeto. La presente ley tiene por objeto garantizar el respeto irrestricto a la presunción de inocencia y a la igualdad de armas en el proceso laboral, sancionando la instrumentalización del sistema de justicia mediante denuncias, de",,,,pending,
18280-21,18956,2026-05-31,parlamentario,21,"Modifica la ley N°21.069, que crea el Instituto Nacional de Desarrollo Sustentable de la Pesca Artesanal y de la Acuicultura de Pequeña Escala, Indespa, en lo relativo a la manera de regular el periodo de inscripción y postulación a beneficios que indica",ingreso_proyecto,rica,19881,"FUNDAMENTOS La Ley N° 21.370, publicada en el Diario Oficial con fecha 18 de agosto de 2021, introdujo modificaciones sustantivas a la Ley General de Pesca y Acuicultura (cuyo texto refundido, coordinado y sistematizado fue fijado por el Decreto Supremo N° 430, de 1991, del Ministerio de Economía, Fomento y Turismo) con el declarado propósito de promover la equidad de género en el sector pesquero y acuícola. Entre sus innovaciones más relevantes, la ley incorporó al artículo 2 del referido texto legal un nuevo numeral 28 bis), que define las denominadas ""actividades conexas a la pesca artesanal"" como aquellas que, sin constituir propiamente actividades pesqueras artesanales, resultan indispensables para las faenas de la pesca artesanal. El catálogo legal comprende, de manera no taxativa, a encarnadoras y encarnadores, charqueadoras y charqueadores, ahumadoras y ahumadores, tejedoras y tejedores, fileteadoras y fileteadores, carapacheras y carapacheros, y desconchadoras y desconchadores. Junto con este reconocimiento definitorio, la ley dispuso la creación de un Registro Nacional de Actividades Conexas a cargo del Servicio Nacional de Pesca y Acuicultura, instrumento que debiera operar conforme a las reglas que fijara la autoridad competente mediante la normativa reglamentaria correspondiente. El problema jurídico central que motiva el presente proyecto radica en que la Ley N° 21.370 no fijó un plazo determinado para la dictación del reglamento que debía regular el funcionamiento del Registro de Actividades Conexas. A diferencia de lo que ocurre con otras leyes del ordenamiento jurídico chileno —que frecuentemente establecen plazos de seis meses, un año o períodos específicos para la dictación de sus reglamentos, y en algunos casos incluso condicionan la entrada en vigencia de la propia ley a la publicación de dicha normativa complementaria—, la Ley N° 21.370 guardó silencio sobre este aspecto. Esta omisión no es meramente formal: tiene consecuencias jurídicas profundas, toda vez que la ausencia de un plazo deja a la discrecionalidad del Ejecutivo la oportunidad de la dictación del reglamento, sin que exista un mecanismo legal de apremio o un instrumento procesal eficaz para compeler su dictación oportuna. 31-05-2026 16:33 2 A la fecha, han transcurrido más de cuatro años y medio desde la publicación de la Ley N° 21.370, sin que el Presidente de la República haya dictado el reglamento que la ley manda. Esta situación constituye lo que la doctrina administrativista denomina una ""omisión reglamentaria"", fenómeno que se produce cuando el Ejecutivo incumple e",,,,pending,
