boletin,topic_primary,topic_secondary,reviewer,method,confidence,rationale,reviewed_at,taxonomy_version,status
"18412-07","Emergencias y desastres","Constitución y justicia","modelo_lenguaje_revision_completa","revision_semantica","0.94","Regula bienes y servicios esenciales durante estados de excepción asociados a emergencias y catástrofes; la ley orgánica constitucional es el vehículo normativo.","2026-09-02","institutional-hybrid-v0.3","aprobado"
"18330-07","Administración parlamentaria","Constitución y justicia","modelo_lenguaje_revision_completa","revision_semantica","0.96","Restringe una actuación judicial de parlamentarios en ejercicio y regula el modo en que desempeñan su función pública; el Código Procesal Penal es el instrumento.","2026-09-02","institutional-hybrid-v0.3","aprobado"
"18611-07","Seguridad","Minería y energía | Constitución y justicia","modelo_lenguaje_revision_completa","revision_semantica","0.97","Agrava la respuesta penal frente a sustracción y receptación de combustibles, fenómeno tratado como cadena delictiva; el sector energético es el objeto material secundario.","2026-09-02","institutional-hybrid-v0.3","aprobado"
"18442-07","Familia, infancia y adolescencia","Constitución y justicia","modelo_lenguaje_revision_completa","revision_semantica","0.99","La protección de menores de catorce años frente a exposición a material pornográfico es el bien sustantivo central; el aumento de sanciones es el mecanismo jurídico.","2026-09-02","institutional-hybrid-v0.3","aprobado"
"18133-07","Seguridad","Defensa | Constitución y justicia","modelo_lenguaje_revision_completa","revision_semantica","0.97","La finalidad es reforzar orden público y seguridad interior mediante un rol coadyuvante de las Fuerzas Armadas; defensa identifica el actor institucional utilizado.","2026-09-02","institutional-hybrid-v0.3","aprobado"
"18144-07","Seguridad","Constitución y justicia","modelo_lenguaje_revision_completa","revision_semantica","0.98","Fortalece la persecución del crimen organizado y adapta el proceso penal, incluido el juicio en ausencia; seguridad es el objetivo y procedimiento penal el instrumento.","2026-09-02","institutional-hybrid-v0.3","aprobado"
"18169-07","Constitución y justicia","Salud | Transportes y telecomunicaciones","modelo_lenguaje_revision_completa","revision_semantica","0.91","La iniciativa ordena actuaciones probatorias del proceso penal como constatación de lesiones y exámenes toxicológicos; salud y tránsito son los ámbitos operativos secundarios.","2026-09-02","institutional-hybrid-v0.3","aprobado"
"18455-07","Seguridad","Familia, infancia y adolescencia | Constitución y justicia","modelo_lenguaje_revision_completa","revision_semantica","0.95","Restringe beneficios y sustituciones de sanciones para adolescentes condenados por delitos graves con una finalidad explícita de seguridad pública; el régimen penal adolescente es secundario.","2026-09-02","institutional-hybrid-v0.3","aprobado"
"18264-07","Constitución y justicia","Gobierno interior y descentralización","modelo_lenguaje_revision_completa","revision_semantica","0.97","Modifica inhabilidades constitucionales de autoridades locales y regionales para competir por escaños legislativos; la dimensión territorial e institucional es secundaria.","2026-09-02","institutional-hybrid-v0.3","aprobado"
"18432-07","Derechos humanos","Constitución y justicia","modelo_lenguaje_revision_completa","revision_semantica","0.97","La iniciativa delimita el delito de apremios ilegítimos y tratos crueles cometidos por funcionarios sobre personas bajo custodia; la protección frente a malos tratos es el núcleo sustantivo.","2026-09-02","institutional-hybrid-v0.3","aprobado"
"18604-07","Seguridad","Transportes y telecomunicaciones | Constitución y justicia","modelo_lenguaje_revision_completa","revision_semantica","0.98","Agrava la receptación de vehículos como parte de redes asociadas al robo y comercialización ilícita; los vehículos son el objeto material del delito.","2026-09-02","institutional-hybrid-v0.3","aprobado"
"18140-07","Economía, comercio y consumidores","Relaciones exteriores | Ciencia y tecnología | Minería y energía","modelo_lenguaje_revision_completa","revision_semantica","0.89","La iniciativa busca proteger autonomía estratégica frente a inversiones relevantes en infraestructura, datos y energía; regulación económica de inversiones es el eje, con dimensiones geopolíticas y tecnológicas.","2026-09-02","institutional-hybrid-v0.3","aprobado"
"18244-07","Seguridad","Constitución y justicia","modelo_lenguaje_revision_completa","revision_semantica","0.99","Agrava sanciones por secuestro ante su creciente vínculo con crimen organizado y violencia grave; la reforma penal es el instrumento.","2026-09-02","institutional-hybrid-v0.3","aprobado"
"18526-07","Gobierno interior y descentralización","Constitución y justicia | Seguridad","modelo_lenguaje_revision_completa","revision_semantica","0.95","Crea una causal de cesación de autoridades por consumo ilícito de drogas como estándar de probidad e integridad pública; seguridad y diseño constitucional son secundarios.","2026-09-02","institutional-hybrid-v0.3","aprobado"
"18150-07","Constitución y justicia","Gobierno interior y descentralización","modelo_lenguaje_revision_completa","revision_semantica","0.98","Amplía las inhabilidades constitucionales para candidaturas al Congreso incorporando a los secretarios regionales ministeriales; organización territorial del Ejecutivo es secundaria.","2026-09-02","institutional-hybrid-v0.3","aprobado"
"18567-07","Administración parlamentaria","Constitución y justicia","modelo_lenguaje_revision_completa","revision_semantica","0.99","Transfiere a las Cámaras capacidad para solicitar urgencia en la discusión de mociones y modifica directamente el funcionamiento del proceso legislativo parlamentario.","2026-09-02","institutional-hybrid-v0.3","aprobado"
"18195-07","Administración parlamentaria","Constitución y justicia | Seguridad","modelo_lenguaje_revision_completa","revision_semantica","0.96","Establece una obligación específica de senadores y diputados de someterse a controles de drogas; afecta directamente el estatuto y deberes de los parlamentarios.","2026-09-02","institutional-hybrid-v0.3","aprobado"
