boletin,titulo,origen_iniciativa,comision_origen_proxy,comisiones_tramitacion,topic_primary,topic_secondary,method,confidence,needs_review,review_reason,evidence,taxonomy_version,auto_topic_primary,auto_topic_secondary,reviewer,review_rationale,reviewed_at
18139-07,"Modifica la Carta Fundamental, para eliminar la atribución presidencial  de otorgar indultos particulares",parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,hibrido_institucional_texto,0.92,0,,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:20.75 || score_2=Cultura y comunicaciones:3.00",institutional-hybrid-v0.3,Constitución y justicia,,,,
18142-35,"Establece el reconocimiento y protección integral de los derechos de las personas con síndrome de Down, y modifica el Código del Trabajo, del modo que indica",parlamentario,Personas Mayores y Discapacidad,Personas Mayores y Discapacidad,Personas mayores y discapacidad,,institucional_destinacion,0.97,0,,comision_origen=Personas Mayores y Discapacidad,institutional-hybrid-v0.3,Personas mayores y discapacidad,,,,
18144-07,"Modifica el Código Procesal Penal, para fortalecer la persecución penal del crimen organizado y regular el juicio oral en ausencia del imputado",parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Seguridad,Constitución y justicia,revision_semantica,0.98,0,,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:15.00 || score_2=Seguridad:13.00",institutional-hybrid-v0.3,Constitución y justicia,Seguridad,modelo_lenguaje_revision_completa,"Fortalece la persecución del crimen organizado y adapta el proceso penal, incluido el juicio en ausencia; seguridad es el objetivo y procedimiento penal el instrumento.",2026-09-02
18145-07,Modifica la Carta Fundamental para derogar la facultad presidencial de otorgar indultos particulares,parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,hibrido_institucional_texto,0.92,0,,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:23.00 || score_2=Educación:4.50",institutional-hybrid-v0.3,Constitución y justicia,,,,
18146-07,Modifica la Carta Fundamental a fin de suprimir la atribución del Presidente de la República para otorgar indultos particulares,parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,hibrido_institucional_texto,0.92,0,,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:26.75 || score_2=Defensa:2.25",institutional-hybrid-v0.3,Constitución y justicia,,,,
18147-07,"Modifica el Código Penal, con el objeto de establecer una agravante para los delitos cometidos contra autoridades o funcionarios públicos, en los casos que indica.",parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,hibrido_institucional_texto,0.92,0,,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:12.75 || score_2=Gobierno interior y descentralización:2.25",institutional-hybrid-v0.3,Constitución y justicia,,,,
18148-07,"Modifica la Carta Fundamental, para fortalecer la conducción estratégica de las Fuerzas Armadas",parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Defensa,Constitución y justicia,hibrido_institucional_texto,0.92,0,,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Defensa:27.25 || score_2=Constitución y justicia:9.75",institutional-hybrid-v0.3,Defensa,Constitución y justicia,,,
18149-07,Modifica la Carta Fundamental con el objeto de eliminar la atribución presidencial de otorgar indultos particulares,parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,hibrido_institucional_texto,0.92,0,,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:30.50 || score_2=Cultura y comunicaciones:3.00",institutional-hybrid-v0.3,Constitución y justicia,,,,
18150-07,Modifica la Carta Fundamental a efectos de inhabilitar a los secretarios regionales ministeriales para ser candidatos a diputados o senadores,parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,Gobierno interior y descentralización,revision_semantica,0.98,0,,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:9.75 || score_2=Gobierno interior y descentralización:3.75",institutional-hybrid-v0.3,Constitución y justicia,,modelo_lenguaje_revision_completa,Amplía las inhabilidades constitucionales para candidaturas al Congreso incorporando a los secretarios regionales ministeriales; organización territorial del Ejecutivo es secundaria.,2026-09-02
18157-33,Prorroga el plazo para la regularización e inscripción de derechos de aprovechamiento de aguas hasta el año 2030,parlamentario,Recursos Hídricos y Desertificación,Recursos Hídricos y Desertificación,Agua y recursos hídricos,,institucional_destinacion,0.97,0,,comision_origen=Recursos Hídricos y Desertificación,institutional-hybrid-v0.3,Agua y recursos hídricos,,,,
18158-13,Modifica el Código del Trabajo para establecer fuero laboral para trabajadores y trabajadoras con diagnóstico de cáncer,parlamentario,Trabajo y Seguridad Social,Trabajo y Seguridad Social,Trabajo y seguridad social,,institucional_destinacion,0.97,0,,comision_origen=Trabajo y Seguridad Social,institutional-hybrid-v0.3,Trabajo y seguridad social,,,,
18152-07,"Modifica normas sobre prisión preventiva, suspensión condicional del procedimiento, cumplimiento de penas sustitutivas y facultades de incautación de las fuerzas de orden y seguridad, en los delitos que indica",parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento | Seguridad Ciudadana",Seguridad,Constitución y justicia,institucional_trayectoria,0.94,0,,"comision_origen_transversal=Constitución, Legislación, Justicia y Reglamento || comision_sustantiva=Seguridad Ciudadana",institutional-hybrid-v0.3,Seguridad,Constitución y justicia,,,
18153-24,Declara patrimonio Biocultural de la Nación las especies vegetales que indica,parlamentario,"Cultura, Artes y Comunicaciones","Cultura, Artes y Comunicaciones",Cultura y comunicaciones,,institucional_destinacion,0.97,0,,"comision_origen=Cultura, Artes y Comunicaciones",institutional-hybrid-v0.3,Cultura y comunicaciones,,,,
18154-25,"Modifica los textos legales que indica con el objeto de tipificar el tráfico internacional, la fabricación y modificación ilegal mediante tecnologías digitales, de armas y sus componentes esenciales",parlamentario,Seguridad Ciudadana,Seguridad Ciudadana,Seguridad,,institucional_destinacion,0.97,0,,comision_origen=Seguridad Ciudadana,institutional-hybrid-v0.3,Seguridad,,,,
18155-25,Modifica el Código Penal para establecer nuevas agravantes por delitos cometidos contra la comunidad educativa y en recintos educacionales,ejecutivo,Seguridad Ciudadana,"Constitución, Legislación, Justicia y Reglamento | Seguridad Ciudadana",Seguridad,Constitución y justicia,institucional_destinacion,0.97,0,,comision_origen=Seguridad Ciudadana,institutional-hybrid-v0.3,Seguridad,Constitución y justicia,,,
18156-04,"Establece medidas de seguridad, orden y respeto para la comunidad educativa",ejecutivo,Educación,Educación,Educación,,institucional_destinacion,0.97,0,,comision_origen=Educación,institutional-hybrid-v0.3,Educación,,,,
18159-11,Establece el 6 de abril de cada año como el Día Nacional de Reconocimiento a las Organizaciones de Pacientes,parlamentario,Salud,Salud,Salud,,institucional_destinacion,0.97,0,,comision_origen=Salud,institutional-hybrid-v0.3,Salud,,,,
18160-07,Modifica la Carta Fundamental a fin de suprimir la atribución del Presidente de la República para otorgar indultos particulares,parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,hibrido_institucional_texto,0.92,0,,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:26.75 || score_2=Defensa:2.25",institutional-hybrid-v0.3,Constitución y justicia,,,,
18161-07,Modifica el Código Penal para fortalecer la protección de la comunidad educativa agravando las penas aplicables a los delitos cometidos en contra de docentes y trabajadores de la educación,parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Educación,Constitución y justicia,hibrido_institucional_texto,0.92,0,,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Educación:31.50 || score_2=Trabajo y seguridad social:16.00",institutional-hybrid-v0.3,Educación,Constitución y justicia,,,
18213-07,Modifica la Constitución Política para restablecer la estabilidad de los precios de los combustibles,parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Minería y energía,Constitución y justicia,hibrido_institucional_texto,0.843,0,,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Minería y energía:14.00 || score_2=Constitución y justicia:10.50",institutional-hybrid-v0.3,Minería y energía,Constitución y justicia,,,
18162-07,"Modifica diversos cuerpos legales, con el objeto de fortalecer el cumplimiento de las sanciones y la persecución de delitos graves en materia de responsabilidad penal adolescente",parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento","Familia, infancia y adolescencia",Constitución y justicia,hibrido_institucional_texto,0.92,0,,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Familia, infancia y adolescencia:16.00 || score_2=Seguridad:7.25",institutional-hybrid-v0.3,"Familia, infancia y adolescencia",Constitución y justicia,,,
18163-14,"Modifica la ley N° 20.898, que establece un procedimiento simplificado para la regularización de viviendas de autoconstrucción, con el objeto de establecer un mecanismo para la formulación de observaciones y subsanación de éstas y extender el plazo de vigencia del procedimiento",parlamentario,"Vivienda, Desarrollo Urbano","Vivienda, Desarrollo Urbano",Vivienda y territorio,,institucional_destinacion,0.97,0,,"comision_origen=Vivienda, Desarrollo Urbano",institutional-hybrid-v0.3,Vivienda y territorio,,,,
18164-17,"Modifica la ley N° 20.405, del Instituto Nacional de Derechos Humanos, en lo relativo a sus reglas de funcionamiento y obligaciones de información",parlamentario,Derechos Humanos y Pueblos Originarios,Derechos Humanos y Pueblos Originarios,Derechos humanos,,institucional_destinacion,0.97,0,,comision_origen=Derechos Humanos y Pueblos Originarios,institutional-hybrid-v0.3,Derechos humanos,,,,
18165-07,"Modifica la Carta Fundamental, con el objeto de establecer un período de inhabilidad para que los fiscales del Ministerio Público ejerzan los cargos que indica",parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,hibrido_institucional_texto,0.92,0,,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:17.75 || score_2=Cultura y comunicaciones:1.50",institutional-hybrid-v0.3,Constitución y justicia,,,,
18166-24,Introduce la obligación de las empresas productoras de conciertos y eventos musicales masivos en orden a garantizar la adecuada visibilidad del espectáculo a sus asistentes,parlamentario,"Cultura, Artes y Comunicaciones","Cultura, Artes y Comunicaciones",Cultura y comunicaciones,,institucional_destinacion,0.97,0,,"comision_origen=Cultura, Artes y Comunicaciones",institutional-hybrid-v0.3,Cultura y comunicaciones,,,,
18167-11,"Modifica el Código Sanitario y la ley N° 19.496, que establece normas sobre protección de los derechos de los consumidores, para sancionar la adulteración de fechas de vencimiento y rotulación de productos críticos para la salud",parlamentario,Salud,Salud,Salud,,institucional_destinacion,0.97,0,,comision_origen=Salud,institutional-hybrid-v0.3,Salud,,,,
18168-03,"Modifica la ley N° 19.496, que establece normas sobre protección de los derechos de los consumidores, para incorporar deberes de trazabilidad en la comercialización digital de bienes usados",parlamentario,"Economía, Fomento, MIPYMES, Consumidores y Turismo","Economía, Fomento, MIPYMES, Consumidores y Turismo","Economía, comercio y consumidores",,institucional_destinacion,0.97,0,,"comision_origen=Economía, Fomento, MIPYMES, Consumidores y Turismo",institutional-hybrid-v0.3,"Economía, comercio y consumidores",,,,
18172-21,"Modifica la ley N° 21.027, con el objeto de incorporar a las organizaciones de carpinteros de ribera como asignatarios de caletas artesanales",parlamentario,"Pesca, Acuicultura e Intereses Marítimos","Pesca, Acuicultura e Intereses Marítimos",Pesca y acuicultura,,institucional_destinacion,0.97,0,,"comision_origen=Pesca, Acuicultura e Intereses Marítimos",institutional-hybrid-v0.3,Pesca y acuicultura,,,,
18173-21,"Modifica la Ley General de Pesca y Acuicultura, con el objeto de exceptuar a los armadores que señala, de la prohibición establecida en materia de artes y aparejos de pesca para la extracción de jibia",parlamentario,"Pesca, Acuicultura e Intereses Marítimos","Pesca, Acuicultura e Intereses Marítimos",Pesca y acuicultura,,institucional_destinacion,0.97,0,,"comision_origen=Pesca, Acuicultura e Intereses Marítimos",institutional-hybrid-v0.3,Pesca y acuicultura,,,,
18169-07,"Modifica diversos cuerpos legales a fin de otorgar atención preferente para la constatación de lesiones a víctimas e imputados, así como para la realización de exámenes toxicológicos a conductores",parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,Salud | Transportes y telecomunicaciones,revision_semantica,0.91,0,,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Transportes y telecomunicaciones:12.50 || score_2=Salud:10.50",institutional-hybrid-v0.3,Transportes y telecomunicaciones,Salud | Constitución y justicia,modelo_lenguaje_revision_completa,La iniciativa ordena actuaciones probatorias del proceso penal como constatación de lesiones y exámenes toxicológicos; salud y tránsito son los ámbitos operativos secundarios.,2026-09-02
18170-13,"Modifica el Código de Trabajo en materia de prevención, investigación y sanción de acoso laboral y sexual",parlamentario,Trabajo y Seguridad Social,Trabajo y Seguridad Social,Trabajo y seguridad social,,institucional_destinacion,0.97,0,,comision_origen=Trabajo y Seguridad Social,institutional-hybrid-v0.3,Trabajo y seguridad social,,,,
18171-13,Modifica el Código del Trabajo en lo relativo a la distribución de la jornada laboral,parlamentario,Trabajo y Seguridad Social,Trabajo y Seguridad Social,Trabajo y seguridad social,,institucional_destinacion,0.97,0,,comision_origen=Trabajo y Seguridad Social,institutional-hybrid-v0.3,Trabajo y seguridad social,,,,
18175-02,Modifica cuerpos legales que indica en materia de protección del espacio aéreo,parlamentario,Defensa Nacional,Defensa Nacional,Defensa,,institucional_destinacion,0.97,0,,comision_origen=Defensa Nacional,institutional-hybrid-v0.3,Defensa,,,,
18174-07,"Modifica la ley N° 17.798, sobre control de armas, y el Código Penal y Código Procesal Penal, en materia de responsabilidad de los padres, adoptantes, tutores y cuidadores de menores de edad en el acceso, facilitación, porte y utilización de armas u otros elementos aptos para agredir",parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,Educación,hibrido_institucional_texto,0.843,0,,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:17.75 || score_2=Educación:14.25",institutional-hybrid-v0.3,Constitución y justicia,Educación,,,
18176-35,"Modifica la ley N° 19.712, del Deporte, con el objeto de promover la inclusión de personas con discapacidad en las actividades deportivas.",parlamentario,Personas Mayores y Discapacidad,Personas Mayores y Discapacidad,Personas mayores y discapacidad,,institucional_destinacion,0.97,0,,comision_origen=Personas Mayores y Discapacidad,institutional-hybrid-v0.3,Personas mayores y discapacidad,,,,
18177-01,Declara el olivo y la aceituna del Valle de Azapa como patrimonio regional y promueve su denominación de origen,parlamentario,"Agricultura, Silvicultura y Desarrollo Rural","Agricultura, Silvicultura y Desarrollo Rural",Agricultura y mundo rural,,institucional_destinacion,0.97,0,,"comision_origen=Agricultura, Silvicultura y Desarrollo Rural",institutional-hybrid-v0.3,Agricultura y mundo rural,,,,
18179-18,"Prohíbe la apología y promoción de la narcocultura, incorporando medidas preventivas y sancionatorias para evitar la exposición de niños, niñas y adolescentes a contenidos que incentiven la comisión de delitos",parlamentario,"Familia, Infancia y Adolescencia","Familia, Infancia y Adolescencia","Familia, infancia y adolescencia",,institucional_destinacion,0.97,0,,"comision_origen=Familia, Infancia y Adolescencia",institutional-hybrid-v0.3,"Familia, infancia y adolescencia",,,,
18180-13,Modifica el Código del Trabajo en lo referido al contenido del contrato de trabajo y la protección de derechos a su terminación,parlamentario,Trabajo y Seguridad Social,Trabajo y Seguridad Social,Trabajo y seguridad social,,institucional_destinacion,0.97,0,,comision_origen=Trabajo y Seguridad Social,institutional-hybrid-v0.3,Trabajo y seguridad social,,,,
18181-13,Modifica el Código del Trabajo en materia de transparencia sindical y buena fe en las relaciones colectivas,parlamentario,Trabajo y Seguridad Social,Trabajo y Seguridad Social,Trabajo y seguridad social,,institucional_destinacion,0.97,0,,comision_origen=Trabajo y Seguridad Social,institutional-hybrid-v0.3,Trabajo y seguridad social,,,,
18182-07,"Deroga la ley N° 80, que manda publicar en el Diario Oficial y en orden correlativo todos los decretos de que tome razón la Dirección del Tesoro",parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,revision_semantica,0.97,0,,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:1.00 || score_2=Cultura y comunicaciones:0.75",institutional-hybrid-v0.3,Constitución y justicia,,modelo_lenguaje_piloto,El objeto es depuración y derogación expresa de una norma obsoleta del ordenamiento; la referencia al Diario Oficial es instrumental.,2026-09-02
18183-07,"Deroga la ley N° 1.025, que ordena que los conocimientos de naves vengan visados por los cónsules de la República",parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,Relaciones exteriores,revision_semantica,0.94,0,,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Infraestructura y obras públicas:1.50 || score_2=Constitución y justicia:1.00",institutional-hybrid-v0.3,Infraestructura y obras públicas,Constitución y justicia,modelo_lenguaje_piloto,Es parte de una serie de derogaciones de legislación obsoleta; la actuación consular vinculada a naves es el contenido histórico secundario.,2026-09-02
18184-07,"Deroga la ley N° 1.187, sobre internación de mercaderías por los boquetes de Antuco, Lonquimay, Pucón y Nahuelhuapi",parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,Relaciones exteriores,revision_semantica,0.94,0,,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:1.00 || score_2=Cultura y comunicaciones:0.75",institutional-hybrid-v0.3,Constitución y justicia,,modelo_lenguaje_piloto,La iniciativa deroga una norma histórica obsoleta; el componente fronterizo/consular es secundario frente al propósito de depuración normativa.,2026-09-02
18185-07,"Deroga la ley N° 1.559, que incluye a Pisagua, Coronel y Puerto Montt entre los puertos por los cuales puede incorporarse y exportarse alcoholes, licores espirituosos y vinos de todas clases",parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Infraestructura y obras públicas,Constitución y justicia,hibrido_institucional_texto,0.92,0,,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Infraestructura y obras públicas:13.00 || score_2=Constitución y justicia:1.00",institutional-hybrid-v0.3,Infraestructura y obras públicas,Constitución y justicia,,,
18186-07,"Deroga la ley N° 1.644, que fija la pena en que deben incurrir los tesoreros fiscales, los administradores de Aduana, el Intendente General del Ejército y de la Marina, que no rindan sus cuentas en el plazo de veinte días después de terminado el mes y período en que deben presentarlas",parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,Gobierno interior y descentralización,revision_semantica,0.96,0,,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Defensa:6.50 || score_2=Constitución y justicia:1.00",institutional-hybrid-v0.3,Defensa,Constitución y justicia,modelo_lenguaje_revision_completa,Es una iniciativa de depuración legislativa que deroga expresamente una norma obsoleta; las antiguas referencias a autoridades fiscales y militares son el contenido histórico de la disposición eliminada.,2026-09-02
18187-07,"Deroga la ley N° 1.930, que fija la ley de las monedas de un peso y cincuenta centavos",parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,Economía y hacienda,revision_semantica,0.94,0,,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:1.00 || score_2=Cultura y comunicaciones:0.75",institutional-hybrid-v0.3,Constitución y justicia,,modelo_lenguaje_piloto,"Aunque la ley derogada versa sobre moneda, la iniciativa no diseña política monetaria: realiza depuración legislativa expresa.",2026-09-02
18188-07,"Deroga la ley N° 3.297, que prohíbe la exportación de los metales viejos o usados, que se indica",parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,"Economía, comercio y consumidores",revision_semantica,0.94,0,,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:1.00 || score_2=Cultura y comunicaciones:0.75",institutional-hybrid-v0.3,Constitución y justicia,,modelo_lenguaje_piloto,El propósito inmediato es derogar una norma obsoleta; la prohibición histórica de exportación de metales constituye el ámbito sectorial secundario.,2026-09-02
18178-10,"Aprueba el Acuerdo entre el Gobierno de la República de Chile y el Gobierno de la República de Tayikistán sobre la exención mutua del requisito de visa para titulares de pasaportes diplomáticos oficiales y de servicio, suscrito en Dushanbe, República de Tayikistán, el 9 de marzo de 2023",ejecutivo,Relaciones Exteriores,Relaciones Exteriores,Relaciones exteriores,,institucional_destinacion,0.97,0,,comision_origen=Relaciones Exteriores,institutional-hybrid-v0.3,Relaciones exteriores,,,,
18189-14,"Modifica la ley N° 20.898, con el objeto de ampliar el régimen excepcional de regularización de viviendas y actualizar la fecha de su aplicación",parlamentario,"Vivienda, Desarrollo Urbano","Vivienda, Desarrollo Urbano",Vivienda y territorio,,institucional_destinacion,0.97,0,,"comision_origen=Vivienda, Desarrollo Urbano",institutional-hybrid-v0.3,Vivienda y territorio,,,,
18190-11,"Modifica la ley N° 20.606, sobre composición nutricional de los alimentos y su publicidad, con el objeto de incorporar criterios de rotulación de alimentos para animales",parlamentario,Salud,Salud,Salud,,institucional_destinacion,0.97,0,,comision_origen=Salud,institutional-hybrid-v0.3,Salud,,,,
18191-37,Establece el 13 de octubre de cada año como el Día Nacional de la Gestión Cultural,parlamentario,"Cultura, Patrimonio, Artes, Deportes y Recreación","Cultura, Patrimonio, Artes, Deportes y Recreación","Cultura, patrimonio y deporte",,institucional_destinacion,0.97,0,,"comision_origen=Cultura, Patrimonio, Artes, Deportes y Recreación",institutional-hybrid-v0.3,"Cultura, patrimonio y deporte",,,,
18192-25,"Modifica diversos cuerpos legales, con el objeto de fortalecer la persecución penal de la distribución digital ilícita y proteger a los consumidores",parlamentario,Seguridad Ciudadana,Seguridad Ciudadana,Seguridad,,institucional_destinacion,0.97,0,,comision_origen=Seguridad Ciudadana,institutional-hybrid-v0.3,Seguridad,,,,
